gene_id	sample_A	sample_B	sample_C	sample_D	sample_E	sample_F
ENSMUSG00000035504	816	990	1302	2482	1865	5014
ENSMUSG00000035505	101	119	132	312	124	194
ENSMUSG00000035506	1	0	0	1	1	2
ENSMUSG00000035509	0	0	0	3	1	0
ENSMUSG00000035513	3	0	0	0	0	0
ENSMUSG00000035517	94	43	175	135	42	93
ENSMUSG00000035521	198	162	146	447	170	467
ENSMUSG00000035522	0	0	0	0	0	0
ENSMUSG00000035523	0	0	0	0	0	0
ENSMUSG00000035528	0	0	0	0	0	0
ENSMUSG00000035529	459	604	782	1119	772	928
ENSMUSG00000035530	13989	14217	19914	34591	19350	43897
ENSMUSG00000035539	2	0	0	0	0	0
ENSMUSG00000035540	19	1	1	24	2	2
ENSMUSG00000035545	3005	1712	2401	7415	2812	4119
ENSMUSG00000035547	3726	4695	6520	6895	5871	6959
ENSMUSG00000035551	0	0	0	0	0	0
ENSMUSG00000035557	1	0	0	0	0	0
ENSMUSG00000035559	298	458	573	817	559	755
ENSMUSG00000035560	0	0	0	0	0	0
ENSMUSG00000035561	17	2	2	23	2	1
ENSMUSG00000035566	2	0	3	13	1	0
ENSMUSG00000035569	2020	2026	2785	4399	3088	4840
ENSMUSG00000035572	1350	1668	1930	2450	1910	2116
ENSMUSG00000035575	566	671	861	1865	733	858
ENSMUSG00000035576	2	1	0	2	2	2
ENSMUSG00000035578	3	7	11	73	7	2
ENSMUSG00000035580	0	0	0	0	0	0
ENSMUSG00000035582	0	0	0	0	0	0
ENSMUSG00000035585	44	2	8	41	7	10
ENSMUSG00000035592	0	0	0	0	0	0
ENSMUSG00000035594	0	0	0	0	0	0
ENSMUSG00000035595	33	39	50	135	73	46
ENSMUSG00000035596	94	38	37	140	36	57
ENSMUSG00000035597	558	489	687	1849	754	1171
ENSMUSG00000035601	51	49	53	111	72	67
ENSMUSG00000035606	0	0	0	0	0	0
ENSMUSG00000035614	237	237	316	794	355	390
ENSMUSG00000035615	3	3	2	31	2	2
ENSMUSG00000035620	109	92	120	256	131	177
ENSMUSG00000035621	727	839	1109	1018	773	755
ENSMUSG00000035623	570	670	921	1160	956	1159
ENSMUSG00000035626	0	0	0	0	0	0
ENSMUSG00000035629	113	171	213	289	200	193
ENSMUSG00000035632	1215	1232	1690	2621	1774	2532
ENSMUSG00000035637	266	340	469	1041	525	648
ENSMUSG00000035638	0	0	0	0	0	0
ENSMUSG00000035640	20	4	8	41	18	6
ENSMUSG00000035642	43	44	61	112	79	75
ENSMUSG00000035649	213	224	258	643	294	514
ENSMUSG00000035651	0	0	0	0	0	0
ENSMUSG00000035653	0	0	0	0	0	0
ENSMUSG00000035666	756	894	1174	1502	1112	1309
ENSMUSG00000035671	206	178	237	396	193	282
ENSMUSG00000035673	822	1031	1398	2028	1379	1938
ENSMUSG00000035674	984	1081	1387	1797	1236	1278
ENSMUSG00000035678	0	0	0	0	0	0
ENSMUSG00000035681	1	0	0	0	0	4
ENSMUSG00000035683	710	1121	1508	1549	1328	1519
ENSMUSG00000035686	0	0	0	2	1	0
ENSMUSG00000035692	404	159	1473	370	192	619
ENSMUSG00000035694	0	0	0	0	0	0
ENSMUSG00000035696	2396	3110	4216	4653	4145	5313
ENSMUSG00000035697	320	101	167	1104	255	404
ENSMUSG00000035699	16	19	26	26	17	37
ENSMUSG00000035704	298	371	504	948	418	521
ENSMUSG00000035711	19	8	9	27	4	13
ENSMUSG00000035713	0	0	0	1	0	0
ENSMUSG00000035722	4530	4074	5969	8926	6470	9698
ENSMUSG00000035725	20	9	10	111	19	17
ENSMUSG00000035726	3230	4957	6593	6996	6207	7735
ENSMUSG00000035735	0	0	0	1	0	0
ENSMUSG00000035745	5	6	4	16	7	9
ENSMUSG00000035754	665	661	832	1535	666	674
ENSMUSG00000035757	212	215	341	543	362	475
ENSMUSG00000035759	8	9	12	46	17	21
ENSMUSG00000035762	100	84	103	351	126	148
ENSMUSG00000035764	563	578	813	1177	855	1137
ENSMUSG00000035765	1235	1848	2261	2716	2205	2361
ENSMUSG00000035769	40	20	28	39	18	28
ENSMUSG00000035770	549	588	738	1205	693	895
ENSMUSG00000035772	250	225	310	734	280	339
ENSMUSG00000035773	3	1	2	4	2	4
ENSMUSG00000035775	4	3	3	12	1	1
ENSMUSG00000035776	596	590	857	1632	955	1532
ENSMUSG00000035778	148	135	225	425	216	311
ENSMUSG00000035780	0	0	0	0	0	0
ENSMUSG00000035781	985	1046	1373	1988	1490	1676
ENSMUSG00000035783	8	1	0	2	0	3
ENSMUSG00000035785	0	0	0	0	0	0
ENSMUSG00000035790	22	18	30	35	21	16
ENSMUSG00000035798	116	121	138	446	193	339
ENSMUSG00000035799	0	0	0	0	0	0
ENSMUSG00000035804	0	0	0	0	0	0
ENSMUSG00000035805	0	0	0	0	0	0
ENSMUSG00000035811	2	0	0	6	0	0
ENSMUSG00000035818	0	0	0	2	0	0
ENSMUSG00000035824	55	36	67	129	82	66
ENSMUSG00000035828	106	55	98	272	105	127
ENSMUSG00000035829	0	0	0	0	0	0
ENSMUSG00000035831	0	0	0	0	0	0
ENSMUSG00000035834	127	79	70	407	88	128
ENSMUSG00000035835	57	14	41	111	20	73
ENSMUSG00000035836	0	0	0	0	0	0
ENSMUSG00000035840	941	1149	1420	2027	1547	2178
ENSMUSG00000035842	240	241	254	571	268	326
ENSMUSG00000035845	104	75	98	171	102	168
ENSMUSG00000035847	117	177	210	268	163	135
ENSMUSG00000035849	1	0	0	0	0	0
ENSMUSG00000035851	1536	1210	1622	3350	1760	2425
ENSMUSG00000035852	0	0	0	0	0	0
ENSMUSG00000035860	0	0	1	0	0	0
ENSMUSG00000035861	0	0	0	0	0	0
ENSMUSG00000035863	43	0	7	7	1	1
ENSMUSG00000035864	0	0	0	1	2	6
ENSMUSG00000035868	42	44	54	123	59	94
ENSMUSG00000035873	21	10	17	67	20	27
ENSMUSG00000035875	5	3	2	7	2	9
ENSMUSG00000035877	44	81	88	145	103	152
ENSMUSG00000035878	0	0	0	0	1	3
ENSMUSG00000035885	3451	4173	6041	5734	5115	6017
ENSMUSG00000035890	912	1042	1376	2314	1193	1488
ENSMUSG00000035891	43	2	7	33	2	0
ENSMUSG00000035896	1	2	2	0	3	1
ENSMUSG00000035898	165	212	280	426	249	268
ENSMUSG00000035900	704	852	1124	2360	1126	2016
ENSMUSG00000035901	508	751	852	2418	1158	1699
ENSMUSG00000035910	1	1	0	0	0	1
ENSMUSG00000035914	1	1	0	4	0	0
ENSMUSG00000035916	0	0	0	0	0	0
ENSMUSG00000035919	32	26	41	135	42	36
ENSMUSG00000035923	0	0	0	0	0	0
ENSMUSG00000035929	6	0	1	3	0	0
ENSMUSG00000035930	0	0	0	0	0	0
ENSMUSG00000035932	0	0	0	0	0	0
ENSMUSG00000035933	236	190	213	707	277	405
ENSMUSG00000035934	0	0	0	1	0	0
ENSMUSG00000035936	9	2	0	9	0	0
ENSMUSG00000035941	6305	4215	5863	7443	6257	5525
ENSMUSG00000035944	38	22	31	96	30	75
ENSMUSG00000035946	0	0	0	0	0	0
ENSMUSG00000035948	0	0	0	0	0	0
ENSMUSG00000035949	2041	1770	2488	4100	2477	3518
ENSMUSG00000035951	0	0	6	1	2	0
ENSMUSG00000035953	453	312	448	1038	421	688
ENSMUSG00000035954	17	8	12	14	5	1
ENSMUSG00000035958	442	376	578	1228	769	1112
ENSMUSG00000035960	388	213	264	802	233	304
ENSMUSG00000035963	0	0	0	0	0	0
ENSMUSG00000035964	0	0	0	0	0	0
ENSMUSG00000035967	5662	2159	3002	12946	4455	7645
ENSMUSG00000035969	6	0	0	4	0	0
ENSMUSG00000035983	13	21	18	29	21	19
ENSMUSG00000035984	0	0	0	0	0	0
ENSMUSG00000035992	202	243	344	682	406	611
ENSMUSG00000036002	17052	11525	16535	14568	13913	11264
ENSMUSG00000036006	68	11	10	90	13	33
ENSMUSG00000036009	59	70	88	146	81	111
ENSMUSG00000036013	0	0	0	0	0	0
ENSMUSG00000036019	20	23	27	74	39	73
ENSMUSG00000036022	413	517	792	1048	666	808
ENSMUSG00000036023	434	400	584	1254	631	1011
ENSMUSG00000036026	173	142	206	669	259	330
ENSMUSG00000036027	0	0	0	0	0	0
ENSMUSG00000036030	0	0	0	1	0	0
ENSMUSG00000036036	0	0	0	8	0	1
ENSMUSG00000036040	0	0	0	0	0	1
ENSMUSG00000036045	1	3	2	2	5	2
ENSMUSG00000036046	100	57	60	188	60	59
ENSMUSG00000036052	0	0	0	0	0	0
ENSMUSG00000036053	10	0	0	2	0	2
ENSMUSG00000036054	541	373	566	1331	674	1150
ENSMUSG00000036057	231	299	386	604	357	389
ENSMUSG00000036061	63	70	91	227	81	103
ENSMUSG00000036062	3	0	8	3	3	3
ENSMUSG00000036067	0	0	0	0	0	0
ENSMUSG00000036073	140	110	140	357	175	171
ENSMUSG00000036078	105	44	70	176	54	78
ENSMUSG00000036083	2	0	0	0	0	0
ENSMUSG00000036086	254	280	322	501	360	568
ENSMUSG00000036087	98	66	78	266	66	72
ENSMUSG00000036091	21	24	23	65	32	56
ENSMUSG00000036093	1125	1394	1673	2576	1688	1794
ENSMUSG00000036095	0	0	0	0	0	0
ENSMUSG00000036097	636	880	894	1620	1201	1320
ENSMUSG00000036098	7	4	0	14	3	1
ENSMUSG00000036099	976	916	1353	2402	1158	1323
ENSMUSG00000036103	7	2	0	16	4	1
ENSMUSG00000036104	438	506	628	964	635	716
ENSMUSG00000036106	30	0	2	20	1	1
ENSMUSG00000036109	161	280	301	273	292	379
ENSMUSG00000036110	1	0	0	0	0	0
ENSMUSG00000036111	2	0	0	1	1	0
ENSMUSG00000036112	11506	8011	11293	26806	12105	13965
ENSMUSG00000036114	194	237	287	477	289	434
ENSMUSG00000036117	1	0	1	0	0	0
ENSMUSG00000036120	234	257	321	553	376	503
ENSMUSG00000036123	0	0	0	0	0	0
ENSMUSG00000036131	0	0	0	0	0	0
ENSMUSG00000036136	51	41	44	133	45	68
ENSMUSG00000036138	164	165	171	376	199	169
ENSMUSG00000036139	0	0	0	0	0	0
ENSMUSG00000036144	0	0	0	0	0	0
ENSMUSG00000036151	12	4	5	7	7	11
ENSMUSG00000036155	42	23	19	64	30	39
ENSMUSG00000036158	57	40	69	142	60	84
ENSMUSG00000036160	273	157	258	637	301	278
ENSMUSG00000036162	0	0	0	0	0	0
ENSMUSG00000036167	423	589	849	1167	796	732
ENSMUSG00000036168	5	1	2	30	3	10
ENSMUSG00000036169	0	0	0	0	0	0
ENSMUSG00000036172	4	0	0	3	0	0
ENSMUSG00000036180	2339	3179	4221	3915	3920	4333
ENSMUSG00000036181	6325	4258	6305	12651	6705	7688
ENSMUSG00000036185	9	7	4	22	10	30
ENSMUSG00000036186	3	0	0	2	0	0
ENSMUSG00000036188	73	71	79	158	72	65
ENSMUSG00000036192	0	0	0	0	0	0
ENSMUSG00000036196	1	1	1	4	0	1
ENSMUSG00000036197	402	446	509	786	602	567
ENSMUSG00000036198	4	0	0	3	1	0
ENSMUSG00000036199	1257	1435	2060	2470	1846	1829
ENSMUSG00000036202	1051	1580	1902	3162	2093	2734
ENSMUSG00000036206	4	2	4	10	1	4
ENSMUSG00000036208	94	103	144	337	103	117
ENSMUSG00000036211	0	3	1	1	0	2
ENSMUSG00000036214	39	55	59	96	59	115
ENSMUSG00000036216	0	0	0	0	0	0
ENSMUSG00000036218	0	0	0	7	0	1
ENSMUSG00000036223	660	781	1059	1684	1034	1749
ENSMUSG00000036225	2	0	0	2	1	0
ENSMUSG00000036231	0	0	0	0	0	0
ENSMUSG00000036241	6304	4308	5961	8745	6216	7396
ENSMUSG00000036242	0	0	0	0	0	0
ENSMUSG00000036244	0	0	0	0	0	0
ENSMUSG00000036246	52	23	21	115	37	36
ENSMUSG00000036249	431	530	884	961	806	1122
ENSMUSG00000036251	0	0	0	0	0	0
ENSMUSG00000036256	8	0	0	10	0	2
ENSMUSG00000036257	1297	1200	1649	2415	1391	1736
ENSMUSG00000036264	0	0	0	0	0	0
ENSMUSG00000036270	884	959	1117	1931	1290	1459
ENSMUSG00000036273	2	0	0	3	0	0
ENSMUSG00000036275	660	787	1005	1853	1118	1515
ENSMUSG00000036278	56	47	106	126	75	111
ENSMUSG00000036281	185	129	200	661	195	256
ENSMUSG00000036282	402	475	695	1276	711	828
ENSMUSG00000036285	416	296	329	900	344	319
ENSMUSG00000036291	328	438	580	919	611	901
ENSMUSG00000036292	3	3	7	16	5	7
ENSMUSG00000036295	2	1	0	3	0	0
ENSMUSG00000036298	0	0	0	1	0	0
ENSMUSG00000036299	605	681	970	1526	817	891
ENSMUSG00000036304	13	0	1	6	2	0
ENSMUSG00000036305	52	49	82	33	59	98
ENSMUSG00000036306	2	1	0	2	4	5
ENSMUSG00000036309	2411	2732	3813	5796	3424	3615
ENSMUSG00000036315	83	100	143	248	105	209
ENSMUSG00000036322	0	0	0	0	0	0
ENSMUSG00000036323	1810	1996	2557	4915	2785	2971
ENSMUSG00000036327	158	229	294	450	249	294
ENSMUSG00000036330	16	8	15	11	15	17
ENSMUSG00000036333	760	734	1038	2139	995	1220
ENSMUSG00000036334	3	0	0	0	1	0
ENSMUSG00000036339	228	204	312	490	319	386
ENSMUSG00000036352	20592	25423	36879	39390	33819	40711
ENSMUSG00000036353	1	0	2	1	1	0
ENSMUSG00000036356	5	0	4	4	2	1
ENSMUSG00000036357	0	0	0	0	0	0
ENSMUSG00000036362	3	0	1	7	0	0
ENSMUSG00000036368	13	9	15	63	18	26
ENSMUSG00000036371	10544	14891	19988	29162	17452	19341
ENSMUSG00000036372	778	930	1247	1663	1086	1415
ENSMUSG00000036376	218	230	313	551	314	393
ENSMUSG00000036377	889	1161	1478	1643	1532	2560
ENSMUSG00000036381	6	1	0	2	0	0
ENSMUSG00000036390	9441	5285	7985	15511	8169	7832
ENSMUSG00000036391	169	164	204	452	230	286
ENSMUSG00000036395	1	0	0	0	0	0
ENSMUSG00000036398	71	71	73	197	105	131
ENSMUSG00000036401	0	0	0	0	0	0
ENSMUSG00000036402	77	31	47	141	35	33
ENSMUSG00000036403	615	771	1036	1248	983	1582
ENSMUSG00000036411	19	14	17	13	23	31
ENSMUSG00000036412	0	0	0	0	0	0
ENSMUSG00000036422	0	0	0	0	0	0
ENSMUSG00000036427	1586	1424	1884	4956	1903	2022
ENSMUSG00000036430	158	226	282	380	256	373
ENSMUSG00000036432	39	20	15	115	41	40
ENSMUSG00000036435	347	402	545	905	504	611
ENSMUSG00000036437	0	0	0	0	0	0
ENSMUSG00000036438	2393	3108	4125	5791	3536	5655
ENSMUSG00000036442	652	807	1074	1164	1053	1400
ENSMUSG00000036446	1	1	0	9	0	0
ENSMUSG00000036449	0	0	0	0	0	0
ENSMUSG00000036450	662	833	1075	1406	997	1199
ENSMUSG00000036452	11	1	2	11	0	2
ENSMUSG00000036459	3	0	1	3	0	0
ENSMUSG00000036461	1197	1099	1664	2762	1559	2021
ENSMUSG00000036463	0	0	0	0	0	0
ENSMUSG00000036466	7	6	9	2	6	6
ENSMUSG00000036469	1	3	0	12	0	0
ENSMUSG00000036473	1370	1902	2499	4079	2608	2563
ENSMUSG00000036478	782	502	685	1684	752	1339
ENSMUSG00000036480	0	0	0	0	0	0
ENSMUSG00000036492	1	0	0	0	2	0
ENSMUSG00000036499	748	814	1222	1537	1028	1140
ENSMUSG00000036500	0	0	0	0	0	0
ENSMUSG00000036501	1435	1110	1480	2524	1722	2337
ENSMUSG00000036502	1	0	0	6	0	0
ENSMUSG00000036503	87	95	128	377	104	174
ENSMUSG00000036504	125	147	194	356	170	134
ENSMUSG00000036510	0	0	0	0	0	0
ENSMUSG00000036513	196	204	264	606	240	303
ENSMUSG00000036521	0	0	0	0	0	0
ENSMUSG00000036523	0	1	0	9	0	0
ENSMUSG00000036526	3	0	0	0	0	0
ENSMUSG00000036528	6	0	0	2	0	1
ENSMUSG00000036529	1438	1840	2440	3341	2533	3352
ENSMUSG00000036533	1307	1882	2787	3146	2940	3667
ENSMUSG00000036534	22	13	10	72	19	21
ENSMUSG00000036537	19	18	11	37	18	21
ENSMUSG00000036545	0	0	0	0	0	0
ENSMUSG00000036550	2253	3217	3823	5231	3795	4243
ENSMUSG00000036551	0	1	1	1	1	0
ENSMUSG00000036552	150	134	162	551	199	363
ENSMUSG00000036553	8	0	0	4	0	2
ENSMUSG00000036555	37	12	12	36	16	12
ENSMUSG00000036557	0	0	0	0	0	0
ENSMUSG00000036560	0	0	0	5	0	0
ENSMUSG00000036561	892	1022	1591	2265	1824	3167
ENSMUSG00000036564	52	37	46	263	58	72
ENSMUSG00000036565	1289	1851	2627	3826	3071	3917
ENSMUSG00000036568	437	691	814	1053	909	1247
ENSMUSG00000036570	0	1	0	5	0	2
ENSMUSG00000036572	617	517	792	1628	822	1422
ENSMUSG00000036574	0	0	0	0	0	0
ENSMUSG00000036578	0	0	0	0	0	0
ENSMUSG00000036580	100	52	56	199	104	71
ENSMUSG00000036585	3	0	0	2	2	0
ENSMUSG00000036586	36	75	92	259	104	117
ENSMUSG00000036587	1	0	0	0	0	0
ENSMUSG00000036591	3453	3968	5178	5090	4676	5205
ENSMUSG00000036594	1	0	0	0	0	0
ENSMUSG00000036596	0	0	0	0	0	0
ENSMUSG00000036598	0	0	0	0	0	0
ENSMUSG00000036599	37	6	7	26	4	7
ENSMUSG00000036602	0	0	0	0	0	0
ENSMUSG00000036606	79	7	11	179	19	30
ENSMUSG00000036611	3	4	5	8	4	7
ENSMUSG00000036613	919	877	1417	1720	1167	1333
ENSMUSG00000036615	278	268	401	643	358	486
ENSMUSG00000036617	1	0	0	2	0	0
ENSMUSG00000036620	655	623	899	1389	988	1533
ENSMUSG00000036622	224	60	52	265	72	101
ENSMUSG00000036632	88	42	73	193	62	111
ENSMUSG00000036634	0	0	0	0	0	0
ENSMUSG00000036636	568	571	780	1337	842	1388
ENSMUSG00000036639	116	143	182	306	169	163
ENSMUSG00000036641	3	0	0	0	0	0
ENSMUSG00000036644	363	278	354	766	405	604
ENSMUSG00000036646	985	1109	1459	2030	1560	2156
ENSMUSG00000036647	0	0	0	0	0	0
ENSMUSG00000036655	1	0	0	11	3	2
ENSMUSG00000036658	0	0	0	0	0	0
ENSMUSG00000036661	8	0	0	8	0	1
ENSMUSG00000036667	36	6	4	48	8	16
ENSMUSG00000036672	579	600	891	1467	811	1398
ENSMUSG00000036676	268	297	399	518	399	550
ENSMUSG00000036678	627	819	1255	1750	1069	1540
ENSMUSG00000036686	80	75	122	209	91	93
ENSMUSG00000036687	30	30	67	214	94	162
ENSMUSG00000036693	484	380	543	1275	612	581
ENSMUSG00000036698	11292	17271	20422	15464	15404	18985
ENSMUSG00000036699	0	0	0	0	0	0
ENSMUSG00000036707	1053	1268	1705	2771	1843	2039
ENSMUSG00000036712	330	496	669	900	606	781
ENSMUSG00000036718	1621	2298	3162	3432	3123	3923
ENSMUSG00000036721	103	99	171	274	157	222
ENSMUSG00000036731	0	0	0	0	0	0
ENSMUSG00000036733	935	1172	1646	1876	1328	1744
ENSMUSG00000036737	1381	1593	2175	2800	1766	2517
ENSMUSG00000036743	14	19	16	71	11	5
ENSMUSG00000036744	0	0	0	0	0	0
ENSMUSG00000036745	3	0	0	0	0	0
ENSMUSG00000036748	815	1115	1602	1942	1418	1885
ENSMUSG00000036749	0	0	0	0	0	1
ENSMUSG00000036751	2554	3283	4488	5171	3656	3668
ENSMUSG00000036752	24857	36935	53162	51139	39753	41875
ENSMUSG00000036760	0	0	0	0	0	0
ENSMUSG00000036764	55	35	46	124	37	32
ENSMUSG00000036766	0	0	0	0	0	0
ENSMUSG00000036768	1992	2380	3199	4478	3625	5208
ENSMUSG00000036769	705	725	942	1257	777	874
ENSMUSG00000036770	2	0	0	1	2	1
ENSMUSG00000036775	16	13	8	54	17	18
ENSMUSG00000036777	2759	4062	5286	5078	5388	7269
ENSMUSG00000036779	687	751	1085	1725	1013	1287
ENSMUSG00000036781	1057	1636	1869	3022	1770	2067
ENSMUSG00000036782	6	0	0	2	0	0
ENSMUSG00000036790	0	0	0	0	0	0
ENSMUSG00000036792	151	184	266	407	294	394
ENSMUSG00000036800	0	1	0	0	0	0
ENSMUSG00000036805	0	0	0	0	0	1
ENSMUSG00000036810	654	719	1005	1547	994	1604
ENSMUSG00000036813	0	0	0	2	0	0
ENSMUSG00000036814	93	102	132	121	142	667
ENSMUSG00000036815	0	0	0	0	0	1
ENSMUSG00000036816	0	0	0	0	0	0
ENSMUSG00000036817	1517	1618	2233	3304	2185	3216
ENSMUSG00000036819	209	298	377	562	361	382
ENSMUSG00000036820	148	137	229	365	276	307
ENSMUSG00000036822	430	338	410	900	512	664
ENSMUSG00000036825	12654	15250	21668	23562	19393	15892
ENSMUSG00000036826	3	0	23	18	36	28
ENSMUSG00000036832	0	0	0	0	0	0
ENSMUSG00000036833	447	468	671	1447	764	1220
ENSMUSG00000036834	0	1	0	0	0	0
ENSMUSG00000036835	506	470	681	1381	570	791
ENSMUSG00000036840	410	382	584	886	555	863
ENSMUSG00000036845	261	277	446	571	383	557
ENSMUSG00000036850	314	401	520	872	486	576
ENSMUSG00000036853	1	0	0	0	0	0
ENSMUSG00000036854	98	194	246	357	229	395
ENSMUSG00000036855	2	0	0	0	0	0
ENSMUSG00000036856	1	1	0	0	0	0
ENSMUSG00000036858	1	0	0	1	0	0
ENSMUSG00000036860	258	331	398	547	412	515
ENSMUSG00000036862	4	1	0	13	0	4
ENSMUSG00000036863	6	1	1	19	5	2
ENSMUSG00000036864	96	61	95	164	113	202
ENSMUSG00000036867	66	61	117	135	63	75
ENSMUSG00000036872	1	0	2	0	2	2
ENSMUSG00000036873	156	163	257	334	226	277
ENSMUSG00000036875	1378	1628	2065	3095	2240	2861
ENSMUSG00000036879	172	150	191	526	243	246
ENSMUSG00000036880	440	619	801	933	752	577
ENSMUSG00000036882	506	422	549	1255	664	1717
ENSMUSG00000036885	2	1	0	4	0	0
ENSMUSG00000036887	20	1	4	18	2	1
ENSMUSG00000036890	213	274	404	627	377	527
ENSMUSG00000036892	7	1	1	26	1	1
ENSMUSG00000036893	376	404	536	857	577	709
ENSMUSG00000036894	83	70	96	320	131	153
ENSMUSG00000036896	27	3	5	21	0	0
ENSMUSG00000036898	34	39	36	137	73	71
ENSMUSG00000036899	30	19	23	43	29	23
ENSMUSG00000036902	26	31	20	85	18	40
ENSMUSG00000036904	5	0	0	4	3	1
ENSMUSG00000036905	36	5	2	19	0	2
ENSMUSG00000036907	2	0	0	0	0	0
ENSMUSG00000036908	56	0	2	18	5	1
ENSMUSG00000036912	0	0	0	0	0	0
ENSMUSG00000036913	1	0	0	0	1	0
ENSMUSG00000036915	11	19	28	11	30	17
ENSMUSG00000036916	70	51	63	248	53	55
ENSMUSG00000036918	603	787	997	1224	1031	1130
ENSMUSG00000036921	0	0	0	0	0	0
ENSMUSG00000036923	2	0	1	0	0	0
ENSMUSG00000036924	0	0	0	0	0	0
ENSMUSG00000036925	0	0	0	0	0	0
ENSMUSG00000036928	74	81	73	198	89	238
ENSMUSG00000036931	11	1	0	10	2	3
ENSMUSG00000036932	438	490	603	1107	690	702
ENSMUSG00000036934	196	187	266	529	311	431
ENSMUSG00000036938	0	0	0	0	0	0
ENSMUSG00000036940	1200	1244	1739	2847	1762	2386
ENSMUSG00000036941	26	10	7	77	22	22
ENSMUSG00000036943	6970	7742	10436	8796	7957	7365
ENSMUSG00000036944	1	2	0	25	1	4
ENSMUSG00000036948	250	123	204	527	229	279
ENSMUSG00000036949	0	0	0	0	0	0
ENSMUSG00000036951	0	0	0	0	0	0
ENSMUSG00000036955	439	464	630	807	646	763
ENSMUSG00000036957	1	0	0	5	0	0
ENSMUSG00000036958	0	0	0	0	0	0
ENSMUSG00000036959	779	1491	1778	1168	1607	2190
ENSMUSG00000036960	0	0	0	0	0	0
ENSMUSG00000036961	0	0	0	0	0	0
ENSMUSG00000036962	0	0	0	0	0	0
ENSMUSG00000036964	2	0	4	20	4	6
ENSMUSG00000036966	230	251	362	648	337	521
ENSMUSG00000036968	160	157	200	417	264	522
ENSMUSG00000036972	0	0	0	0	0	0
ENSMUSG00000036975	186	193	273	542	250	324
ENSMUSG00000036977	81	75	136	303	122	158
ENSMUSG00000036980	673	819	1156	1489	1187	1526
ENSMUSG00000036983	160	199	217	399	245	366
ENSMUSG00000036985	87	138	187	232	139	151
ENSMUSG00000036986	2817	3835	5858	4489	4609	4874
ENSMUSG00000036989	13	1	1	26	3	0
ENSMUSG00000036990	1152	1129	1572	2705	1533	1772
ENSMUSG00000036992	430	676	890	1135	747	1260
ENSMUSG00000036995	6	13	26	32	20	10
ENSMUSG00000037001	370	418	619	773	617	768
ENSMUSG00000037003	7	0	4	9	7	5
ENSMUSG00000037005	0	0	0	1	0	0
ENSMUSG00000037007	63	95	114	162	142	162
ENSMUSG00000037010	0	0	0	6	0	0
ENSMUSG00000037012	7768	10594	14512	14210	12524	11964
ENSMUSG00000037013	249	154	233	623	269	385
ENSMUSG00000037014	0	0	0	0	0	0
ENSMUSG00000037016	0	0	0	0	0	0
ENSMUSG00000037017	346	455	644	791	614	759
ENSMUSG00000037020	640	770	1071	1384	1066	1473
ENSMUSG00000037022	66	89	139	105	106	131
ENSMUSG00000037025	3	0	0	6	3	0
ENSMUSG00000037028	0	0	0	0	0	0
ENSMUSG00000037029	491	413	567	1094	686	796
ENSMUSG00000037031	86	36	78	210	74	226
ENSMUSG00000037032	2	0	2	70	2	2
ENSMUSG00000037033	0	0	0	0	0	0
ENSMUSG00000037034	0	0	0	0	0	0
ENSMUSG00000037035	1	0	0	1	0	0
ENSMUSG00000037049	359	490	625	858	639	815
ENSMUSG00000037053	0	0	0	0	0	0
ENSMUSG00000037058	2448	2122	2996	5111	2972	3490
ENSMUSG00000037060	2	0	0	2	0	0
ENSMUSG00000037062	6304	6495	8739	8358	7125	10475
ENSMUSG00000037064	0	0	0	0	0	0
ENSMUSG00000037070	1380	1536	1994	3838	2078	2650
ENSMUSG00000037071	383	156	307	187	223	383
ENSMUSG00000037072	2006	2455	3393	4925	3075	4352
ENSMUSG00000037075	2763	2451	3392	4779	3707	4828
ENSMUSG00000037085	400	481	650	818	668	725
ENSMUSG00000037086	0	0	0	0	0	0
ENSMUSG00000037089	168	189	194	520	261	319
ENSMUSG00000037095	0	0	0	0	0	1
ENSMUSG00000037096	243	364	504	492	441	547
ENSMUSG00000037098	25	16	23	46	23	31
ENSMUSG00000037101	0	0	0	0	0	0
ENSMUSG00000037103	436	601	887	1096	736	1101
ENSMUSG00000037104	23	2	3	25	6	1
ENSMUSG00000037106	90	46	87	125	86	85
ENSMUSG00000037108	20	9	18	61	13	39
ENSMUSG00000037110	173	222	372	426	250	265
ENSMUSG00000037111	87	66	66	352	107	95
ENSMUSG00000037112	856	938	1379	1650	1503	1659
ENSMUSG00000037119	403	277	341	1014	402	390
ENSMUSG00000037124	2939	1675	2297	2333	2385	1714
ENSMUSG00000037126	267	273	428	504	389	428
ENSMUSG00000037129	0	0	0	0	0	0
ENSMUSG00000037130	0	0	0	0	0	0
ENSMUSG00000037134	161	201	197	430	274	263
ENSMUSG00000037138	3	0	0	6	3	0
ENSMUSG00000037139	0	0	0	1	0	2
ENSMUSG00000037140	0	0	0	0	0	0
ENSMUSG00000037143	0	0	1	0	2	0
ENSMUSG00000037145	0	0	0	0	0	0
ENSMUSG00000037148	121	125	142	293	145	154
ENSMUSG00000037149	1405	1817	2320	4005	2255	2246
ENSMUSG00000037151	629	1020	1462	1659	1355	1346
ENSMUSG00000037152	517	830	1075	1329	887	898
ENSMUSG00000037157	1	2	0	5	8	15
ENSMUSG00000037159	0	0	0	0	0	0
ENSMUSG00000037161	3	6	4	17	7	1
ENSMUSG00000037166	1	0	0	1	3	0
